"Country.Name","Year","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net.inflows....of.GDP.","GDP..current.US..","GNI..current.US..","Gross.national.expenditure....of.GDP.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people.","Individuals.using.the.Internet....of.population.","Access.to.electricity....of.population.","Access.to.electricity..urban....of.urban.population.","Adjusted.savings..net.national.savings....of.GNI.","Employers..total....of.total.employment...modeled.ILO.estimate.","Foreign.direct.investment..net..BoP..current.US..","Labor.force..female....of.total.labor.force.","Urban.population....of.total.population.","Urban.population.growth..annual...","Compulsory.education..duration..years.","Access.to.electricity..rural....of.rural.population.","Fixed.broadband.subscriptions","Fixed.broadband.subscriptions..per.100.people.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Adjusted.net.national.income..current.US..","Communications..computer..etc.....of.service.imports..BoP.","Cost.of.business.start.up.procedures....of.GNI.per.capita.","GNI..constant.2015.US..","Labor.force.participation.rate.for.ages.15.24..total......national.estimate.","Adjusted.net.national.income.per.capita..annual...growth.","Employment.to.population.ratio..ages.15.24..total......national.estimate.","Gini.index","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Labor.force.with.basic.education....of.total.working.age.population.with.basic.education.","Labor.force.with.advanced.education....of.total.working.age.population.with.advanced.education.","School.enrollment..tertiary....gross.","School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI.","Educational.attainment..at.least.completed.lower.secondary..population.25...total......cumulative.","International.tourism..expenditures..current.US..","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Primary.completion.rate..total....of.relevant.age.group.","Adolescents.out.of.school....of.lower.secondary.school.age.","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population."
"Albania",2018,15.58,7.95,15156424015,15137984851,114.3,2710000,94.36,65.4,100,100,-0.17,3.29,-1208920406,43.39,60.32,1.32,9,100,362000,12.51,29.85,9.16,12442708488,13.73,11.3,12691888499,35.69,4.01,25.65,30.1,0,0,54.21,72.1,56.08,1.02,90.27,1.75e+09,1508,526.1,102.89,1.21,,
"Albania",2019,15.01,7.8,15401826127,15200244588,114.36,2630000,91.52,68.55,100,100,-2.43,3.07,-1161056359,43.94,61.23,1.07,9,100,436000,15.12,30,9.86,12449979124,13.34,10.8,12808216512,36.59,1.18,26.72,30.1,0,0,55.18,75.47,61.41,1.02,90.71,1.852e+09,2190,767.29,98.72,2.06,65.96,71.16
"Argentina",2008,66.15,2.69,3.62e+11,3.53e+11,96.28,46500000,115.48,28.11,97.5,97.9,12.26,4.58,-8334618541,40.8,90.53,1.17,13,94,3110000,7.71,41.73,32.88,3.05e+11,34.68,12.8,5.2e+11,42.55,4.62,34.54,45,1.6,0.6,52.21,83.85,68.82,1.05,,5.987e+09,,,102.39,3.37,,
"Argentina",2009,66.7,1.21,3.33e+11,3.23e+11,94.94,52500000,129,34,97.8,98.2,7.61,4.45,-3305612521,41.15,90.69,1.19,13,94.2,3510000,8.59,45.84,37.12,2.78e+11,38.96,16.1,4.87e+11,42.39,-8.44,33.42,43.8,1.6,0.5,51.91,83.88,71.04,1.05,,5.808e+09,,,103.05,3.15,,
"Argentina",2010,67.06,2.68,4.24e+11,4.09e+11,97.1,57100000,138.89,45,98.8,98.8,6.94,4.51,-10367957946,40.6,90.85,0.43,13,98.6,4030000,9.76,43.33,35.41,3.54e+11,36.98,20.7,5.34e+11,41.05,11.29,33.11,43.7,0.7,0.3,51.24,83.84,74.19,1.04,,6.448e+09,1028,25.2,103.41,2.36,,
"Argentina",2011,68.26,2.04,5.3e+11,5.15e+11,98.31,60700000,146.25,51,99,99.2,6.89,4.48,-9351930945,40.49,90.99,1.31,13,97.8,4570000,10.96,46.08,36.73,4.43e+11,38,17.7,5.69e+11,40.92,7.57,33.25,42.7,0.7,0.3,51.48,83.64,77.43,1.04,,7.602e+09,1404,34.03,103.41,2.67,,
"Argentina",2012,68.72,2.81,5.46e+11,5.33e+11,98.05,64300000,153.33,55.8,99.1,99.4,4.74,3.97,-14269084339,40.76,91.12,1.28,13,96.1,5150000,12.21,47.01,36.01,4.54e+11,37.48,15.4,5.66e+11,40.52,-2.49,33.11,41.4,0.6,0.3,50.87,82.47,78.46,1.03,,8.466e+09,2643,63.33,103.75,1.82,,
"Argentina",2013,69.17,1.78,5.52e+11,5.4e+11,100.1,67400000,158.92,59.9,99.3,99.7,3.29,3.86,-8931688999,40.67,91.25,1.26,13,95.4,6250000,14.68,47.05,37.77,4.6e+11,39.03,23.2,5.81e+11,40.1,1.01,32.31,41.1,0.7,0.3,49.78,82.65,78.77,1.03,,8.421e+09,3117,73.86,103.37,1.48,,
"Argentina",2014,67.79,0.96,5.26e+11,5.16e+11,99.6,61200000,142.99,64.7,100,100,3.57,3.48,-3144794109,40.82,91.38,1.24,13,100,6520000,15.15,43.11,37.89,4.38e+11,39.3,17.7,5.67e+11,38.6,-4.65,31.33,41.8,0.6,0.3,49.83,82.21,81.17,1.03,,7.837e+09,3837,89.92,105.39,1.2,,
"Argentina",2015,65.4,1.98,5.95e+11,5.84e+11,101.07,61800000,142.96,68.04,99.7,99.9,2.35,3.61,-10883760784,41.03,91.5,1.22,14,97.6,6860000,15.77,43.57,34.61,5.07e+11,35.73,11.4,5.84e+11,,4.14,,,,,,,83.76,1.03,,9.348e+09,5317,123.27,106.05,1.07,,
"Argentina",2016,61.85,0.58,5.58e+11,5.45e+11,101.04,63700000,145.92,70.97,99.9,100,2.48,3.68,-1473633407,41.23,91.63,1.19,14,99.3,7250000,16.52,46.25,31.18,4.74e+11,31.97,10.8,5.69e+11,,-2.96,,42.3,0.7,0.3,,,86.62,1.02,,1.2273e+10,32040,735.02,106.54,0.71,70.12,71.91
"Argentina",2017,57.78,1.79,6.44e+11,6.27e+11,102.65,61900000,140.5,74.29,100,100,2.49,3.81,-10361231244,41.44,91.75,1.17,14,100,7840000,17.71,51.04,31.06,5.54e+11,31.71,10.4,5.83e+11,38.96,4.65,30.14,41.4,0.6,0.2,48.5,79.03,89.23,1.02,,1.418e+10,71731,1628.59,101.58,0.75,73.49,75.17
"Argentina",2018,51.03,2.23,5.25e+11,5.06e+11,101.89,58600000,131.94,77.7,100,100,0.24,3.91,-9990788246,42.15,91.87,1.15,14,99.9,8470000,18.98,48.84,31.85,4.4e+11,32.48,5.3,5.61e+11,39.41,-6.56,30.06,41.7,1,0.4,48.46,79.58,90.97,1.02,,1.3084e+10,83320,1872.59,100.28,0.69,,
"Argentina",2019,46.15,1.49,4.48e+11,4.3e+11,96.78,56400000,125.94,79.95,100,100,2.04,3.79,-5126459686,42.38,91.99,1.13,14,100,8790000,19.55,49.32,36.6,3.7e+11,37.24,5,5.49e+11,39,-6.03,28.92,43.3,1.1,0.4,48.75,80.41,95.08,1.02,,9.845e+09,135647,3018.49,100.38,0.6,,
"Armenia",2008,25.22,8.09,11662040714,12353321002,132.63,1440000,48.33,6.21,99.2,99.4,15.16,0.62,-913226598.5,49.75,63.64,-0.86,10,98.9,13800,0.47,18.77,12.8,10947116645,14.7,3.6,10313163849,33.26,10.05,18.21,29.2,0.9,0.2,38.43,70.5,46,1,,4.94e+08,,,98.66,,,
"Armenia",2009,28.27,8.79,8647937081,9006718596,137.98,2190000,73.93,15.3,99.3,99.4,1.79,0.63,-707800329.9,49.87,63.54,-0.8,10,99,39900,1.35,16.24,14.82,7921367056,16.57,2.6,8681469013,,-21.45,19.04,28,1.2,0.2,37.74,65.66,47.38,0.99,,4.96e+08,,,,5.32,,
"Armenia",2010,29.07,5.72,9260285756,9718566996,137.12,3870000,131.19,25,99.8,99.7,0.58,0.62,-501862329,50.01,63.44,-0.77,10,100,93600,3.19,18.07,12.87,8398953354,14.39,3.1,8939510151,,2.21,22.7,30,1,0.2,39.61,68.55,47.75,1,98.25,6.41e+08,30,10.18,91.54,6.79,,
"Armenia",2011,28.69,6.44,10142111825,10502185417,131.84,3210000,109.64,32,99.5,99.6,-0.9,0.62,-434138222.4,50.17,63.34,-0.75,11,99.3,161000,5.49,27.99,10.18,9080773851,11.82,2.9,9237399516,38.96,3.29,23.56,29.4,1.2,0.2,40.4,69.8,47.82,1.01,96.6,7.56e+08,54,18.44,93.47,9.61,,
"Armenia",2012,29.08,4.68,10619320683,11042356845,121.47,3320000,114.01,37.5,99.5,99.7,1.4,0.63,-473210732.1,50.32,63.24,-0.66,12,99.2,212000,7.26,26.36,9.31,9592549255,10.81,2.5,9958810855,38.1,13.64,24.6,29.6,0.8,0.2,39.29,69.97,41.48,,98.81,8.74e+08,87,29.85,93.56,,,
"Armenia",2013,25.41,3.11,11121464437,11804011412,120.88,3350000,115.33,41.9,99.4,99.4,1.97,0.62,-315829524.3,50.44,63.16,-0.57,12,99.4,243000,8.32,27.66,8.73,10304677648,10.18,1.1,10486189417,39.39,3.92,25.09,30.6,1.7,0.3,38.07,70.18,41.62,1.03,99.05,1.007e+09,158,54.46,,,40.35,43.81
"Armenia",2014,27.22,3.5,11609513247,12131729270,118.92,3460000,119.7,54.62,99.7,99.7,0.54,0.62,-377774324,50.56,63.11,-0.48,12,99.8,273000,9.34,26.16,8.85,10623316108,10.31,1,10694904824,37.57,1.63,23.67,31.5,1.4,0.2,33.76,74.52,44.41,1.04,99.15,1.101e+09,182,62.98,94.6,,52.98,56.6
"Armenia",2015,24.66,1.74,10553337518,10981745036,111.76,3460000,120.35,59.1,100,100,4.45,0.63,-155376062,50.68,63.09,-0.44,12,100,286000,9.8,24.28,10.47,9466501710,12.03,1,10981745036,39.47,-1.02,26.86,32.4,1.1,0.2,42.33,76.86,45.47,1.04,97.22,1.057e+09,224,77.82,94.23,,57.75,60.75
"Armenia",2016,24.62,3.17,10546136236,10791195837,107.77,3430000,119.85,64.35,99.8,99.8,3.87,0.63,-263304563.1,50.77,63.08,-0.45,12,99.8,299000,10.25,24.81,10.17,9300728052,11.94,0.9,10830558437,34.65,-1.03,22.07,32.5,1.1,0.2,38.77,74.62,51.75,,88.77,1.033e+09,557,194.36,105.01,5.22,63.37,65.55
"Armenia",2017,21.38,2.19,11527458709,11933013893,110.77,3490000,122.32,64.74,99.7,99.8,3.36,0.62,-223691166.8,50.94,63.1,-0.45,12,99.5,315000,10.82,25.76,9.1,10354023834,10.5,0.9,11774009720,35.12,10.89,21.71,33.6,0.8,0.1,34.55,73.61,53.59,,96.59,1.218e+09,799,280.16,102.76,3.02,63.44,66.31
"Armenia",2018,19.53,2.14,12457940695,12658281184,113.69,3580000,126.18,68.25,99.9,99.9,2.29,0.62,-259842543,51.09,63.15,-0.47,12,99.9,347000,11.94,24.56,10.91,10947568530,12.52,0.8,12171108058,39.94,4.7,28.93,34.4,1.3,0.2,39.43,74.29,56.17,1.02,99.48,1.335e+09,989,348.66,100.24,1.55,66.9,69.89
"Armenia",2019,19.04,0.74,13619290539,13798994782,113.41,3620000,128.3,66.54,100,100,-2.67,0.94,-233282275.3,51.95,63.22,-0.45,12,100,386000,13.28,22.38,10.06,11908830642,11.55,0.8,13058359835,38.02,6.35,28.45,30,1,0.1,41.86,71.01,53.31,1.03,99.63,1.543e+09,1416,502.02,97.23,1.47,67.23,65.79
"Austria",2008,11.38,1.46,4.32e+11,4.36e+11,95.56,10800000,129.98,72.87,100,100,11.99,4.68,21601880265,46.13,57.97,-0.17,9,100,1730000,20.77,31.93,37.54,3.63e+11,37.72,5.1,3.75e+11,58.61,1.24,53.49,30.4,0.5,0.2,37.77,75.45,66.2,0.97,,,,,,1.11,66.87,78.98
"Austria",2009,10.71,3.56,4.02e+11,4.02e+11,96.94,11400000,137.05,73.45,100,100,7.34,4.73,1258109966,46.48,57.68,-0.23,9,100,1880000,22.51,33.29,37.55,3.31e+11,37.75,5.1,3.6e+11,58.48,-5.31,52.1,31.5,0.7,0.4,37.65,75.84,67.99,0.97,,,,,,1.11,68.26,78.75
"Austria",2010,10.43,-5.61,3.92e+11,3.96e+11,96.6,12200000,146.37,75.17,100,100,8.25,4.77,7679700298,46.59,57.4,-0.25,9,100,2050000,24.51,31.34,35.2,3.26e+11,35.4,5.2,3.67e+11,57.22,1.67,51.68,30.3,0.5,0.3,36.93,75.47,75.04,0.97,99.26,,5772,690.15,,1.34,70.74,79.69
"Austria",2011,9.61,5.32,4.32e+11,4.33e+11,97.42,13000000,155.19,78.74,100,100,8.75,4.68,15161341821,46.79,57.12,-0.16,10,100,2100000,24.99,33.25,36.16,3.58e+11,36.34,5.2,3.72e+11,58.01,1.19,52.68,30.8,0.4,0.3,37.43,76.07,77.26,0.97,99.16,,8966,1068.44,100.62,1.3,73.77,83.81
"Austria",2012,9.05,1.27,4.09e+11,4.1e+11,97.3,13600000,161.19,80.03,100,100,8.16,4.62,13225677746,46.95,57.15,0.51,10,100,2130000,25.26,35.17,38.61,3.37e+11,38.78,4.9,3.72e+11,58.15,-0.85,52.59,30.5,0.6,0.4,36.82,76.65,79.55,0.97,99.16,,13601,1613.41,96.5,1.34,76.04,84.11
"Austria",2013,8.46,0.1,4.3e+11,4.31e+11,97.3,13300000,156.52,80.62,100,100,7.53,4.48,10579892540,47,57.34,0.92,10,100,2230000,26.32,37.12,43.15,3.54e+11,43.29,4.8,3.72e+11,57.74,-0.83,52.1,30.8,0.3,0.2,36.34,77.01,80.96,0.97,99.29,,15751,1857.47,98.86,1.29,76.96,84.35
"Austria",2014,7.95,0.39,4.43e+11,4.43e+11,96.73,13000000,151.56,81,100,100,7.98,4.7,-2587541536,47.12,57.53,1.11,10,100,2360000,27.6,39.03,43.73,3.63e+11,43.85,5.5,3.76e+11,57.08,0.09,51.07,30.5,0.2,0.1,36.86,76.68,81.02,0.97,99.55,,20044,2345.33,97.34,1.31,77.19,84.88
"Austria",2015,7.91,-2.09,3.82e+11,3.78e+11,96.25,13500000,155.87,83.94,100,100,7.84,4.51,5836278366,47,57.72,1.45,10,100,2460000,28.41,39.27,44.29,3.1e+11,44.41,5.3,3.78e+11,56.5,-0.59,50.33,30.5,0.7,0.5,36.4,76.79,82.26,0.97,98.99,1.1337e+10,26636,3081.91,99.4,1.34,79.69,88.27
"Austria",2016,7.64,-7.31,3.96e+11,3.96e+11,96.17,11100000,126.82,84.32,100,100,9.29,4.55,2023538040,46.96,57.91,1.41,10,100,2520000,28.88,39.81,44.67,3.25e+11,44.79,5.2,3.91e+11,56.66,2.65,50.19,30.8,0.7,0.5,37.57,76.75,82.85,0.97,98.97,1.1634e+10,38878,4449.98,97.15,1.85,80.73,87.96
"Austria",2017,6.99,3.24,4.17e+11,4.13e+11,96.84,10900000,123.43,87.94,100,100,8.49,4.56,-3410590995,46.95,58.09,1.02,13,100,2510000,28.54,40.75,45.22,3.38e+11,45.33,5.1,3.94e+11,54.94,-0.34,49.45,29.7,0.3,0.2,37,77.23,83.84,0.97,99.03,1.2878e+10,65381,7431.71,98.65,1.36,85.16,90.73
"Austria",2018,5.86,-6.29,4.55e+11,4.51e+11,97,11000000,124.25,87.48,100,100,8.87,4.56,1691653145,46.81,58.3,0.84,13,100,2520000,28.52,41.6,47.83,3.68e+11,47.93,4.8,4.03e+11,55.81,1.6,50.46,30.8,0.6,0.4,36.99,76.64,85.87,0.97,98.93,1.4109e+10,147681,16705.01,97.75,1.2,85.44,89.55
"Austria",2019,5.5,-2.79,4.45e+11,4.43e+11,96.37,10700000,120.79,87.75,100,100,9.54,4.79,5227955310,46.88,58.52,0.82,13,100,2520000,28.36,41.93,49.24,3.62e+11,49.34,4.7,4.1e+11,55.48,1.05,50.61,30.2,0.6,0.4,36.93,76.61,86.32,0.98,98.83,1.3922e+10,233527,26298.32,99.46,1.16,85.27,90.28
"Belarus",2008,23.22,3.6,60752106347,59964234226,106.12,8130000,83.04,23,93.2,95.8,16.9,0.57,-2157300000,49.83,73.73,0.27,9,85.9,478000,5.02,26.36,22.99,51003485312,23.35,8.3,48805110550,,16.74,,27.8,0.2,0,,,70.51,0.98,,8.6e+08,,,94.28,,,
"Belarus",2009,24.06,3.69,50873167326,49759479064,109.17,9690000,99.27,27.43,93.8,96.2,12.79,0.57,-1774200000,49.85,74.17,0.36,9,86.8,1090000,11.49,28.31,27.94,42585360174,28.25,2.1,48548267290,48.2,-3.95,42.2,27.7,0.1,0,,,75.9,0.98,91.41,7.52e+08,,,96.99,,25.05,30.77
"Belarus",2010,22.38,2.43,57231904543,56069265841,112.32,10300000,106.18,31.8,94.4,96.6,12.91,0.58,-1342800000,49.89,74.67,0.45,9,87.7,1670000,17.56,27.74,28.44,47583347699,28.6,2,52398297697,,8.21,,28.6,0,0,,,82.67,0.98,,7.48e+08,48,5.06,96.13,0.97,29.37,34.98
"Belarus",2011,22.39,6.48,61762382328,61079871267,99.37,10700000,110.18,39.65,95,97.1,18.6,0.58,-3876900000,49.95,75.19,0.45,9,88.7,2100000,22.15,27.71,32.13,51663370435,32.23,1.6,55606056092,,18.18,,27.2,0,0,,,91.26,0.98,,7.29e+08,86,9.09,98.96,2.9,37.25,42.97
"Belarus",2012,23.59,2.23,65685890439,64215516439,96.71,10700000,110.14,46.91,95.6,97.5,17.17,0.58,-1308100000,50,75.7,0.52,9,89.7,2530000,26.76,31.18,37.42,54185455633,37.49,2.5,55880011073,,3.9,,26.5,0,0,,,98.6,0.98,,9.48e+08,241,25.51,97.61,3.45,44.87,49.76
"Belarus",2013,23.01,2.97,75527558966,72875339441,103.48,11100000,114.69,54.17,96.2,97.9,14.25,0.57,-1983900000,50.04,76.2,0.62,9,90.7,2790000,29.43,37.64,46.39,61288999699,46.47,0.9,55703404921,,-0.23,,26.6,0,0,,,101.42,0.98,,1.333e+09,366,38.76,94.9,4.25,51.47,57.94
"Belarus",2014,20.61,2.36,78812805039,76448782778,101.42,11400000,117.62,59.02,96.8,98.3,13.47,0.57,-1788600000,50.1,76.69,0.7,9,91.9,2680000,28.34,40.29,46.74,64649151125,46.8,0.9,56959099295,,3.1,,27.2,0,0,,,99.85,0.99,,1.308e+09,579,61.28,94.26,4.65,56.51,62.59
"Belarus",2015,17.84,2.93,56454889147,54061945286,96.83,11400000,118.02,62.23,97.4,98.6,14.98,0.57,-1545700000,50.15,77.18,0.77,9,93.1,2900000,30.6,43.52,44.26,45644199339,44.32,0.9,54061945286,,-4.7,,25.6,0,0,,,98.03,0.99,,9.97e+08,1021,107.92,94.1,5.43,60.19,65.11
"Belarus",2016,15.53,2.61,47723545321,45473302429,96.64,11400000,117.84,71.11,98,99,12.48,0.57,-1.124e+09,50.21,77.66,0.71,9,94.7,3070000,32.29,45.37,45.29,38402872606,45.34,0.6,52504461350,47.85,-5.74,42.72,25.3,0,0,14.39,82.96,94.76,0.99,,8.91e+08,4171,440.47,94.38,6.05,70.91,71.39
"Belarus",2017,12.94,2.33,54725302250,52669765497,98.14,11400000,117.59,74.44,98.7,99.3,13.75,0.55,-1208500000,50.08,78.13,0.5,9,96.6,3160000,33.31,44.6,39.9,44370032756,39.98,0.6,54347910375,48.37,4.2,43.87,25.4,0,0,17.16,83.76,91.33,0.99,,1.082e+09,21465,2269.27,95.61,6.68,74.55,74.28
"Belarus",2018,11.6,2.38,60031173808,57861187726,97.37,11600000,119.84,79.13,99.3,99.7,14.74,0.53,-1371300000,49.79,78.6,0.37,9,98.2,3200000,33.77,44.86,40.61,48509547432,40.69,0.5,56112036764,45.97,4.45,41.07,25.2,0,0,17.26,83.71,84.54,0.99,,1.17e+09,32440,3436.88,96.76,6.8,79.01,79.29
"Belarus",2019,11.83,1.98,64410122847,62499831005,99.96,11600000,120.19,82.79,100,100,13.03,0.69,-1277100000,50.16,79.04,0.37,9,100,3210000,34.07,48.2,42.84,52403178269,42.94,0.5,57294424801,44.82,3.07,40.25,25.3,0,0,17.66,83.4,80.17,0.99,98.17,1224500000,54170,5750.68,99.11,6.65,83.03,82.47
"Belgium",2008,10.67,36.8,5.17e+11,5.3e+11,99.33,11300000,105.73,68.86,100,100,8.46,4.2,32864044192,44.96,97.56,0.84,12,100,2980000,27.85,46.98,43.67,4.33e+11,40.37,5.5,4.36e+11,33.4,-2.12,27.4,28.4,0.1,0.1,32.08,78.29,62.76,1.09,78.32,,,,,0.82,67.83,74.71
"Belgium",2009,10.68,16.01,4.83e+11,4.92e+11,97.74,11800000,109.02,74.54,100,100,5.42,4.47,-44015051904,45.16,97.6,0.85,12,100,3150000,29.16,52.69,47.09,3.98e+11,45.38,5.6,4.34e+11,32.44,-2.2,25.32,28.6,0.1,0.1,31.27,77.68,64.98,1.09,79.43,2.0813e+10,,,,1.01,72.92,79.52
"Belgium",2010,10.27,26.07,4.81e+11,4.89e+11,98.3,12200000,111.73,77.64,100,100,5.98,4.47,-58665007469,45.36,97.65,0.96,12,100,3370000,30.84,51.92,45.6,3.96e+11,43.47,5.7,4.39e+11,32.51,0.49,25.23,28.4,0.1,0.1,32.99,76.85,66.86,1.08,79.64,2.0884e+10,4378,401.81,,1.28,75.32,83.21
"Belgium",2011,9.94,31.27,5.23e+11,5.24e+11,100.1,12500000,114.06,81.61,100,100,4.1,4.13,-34518425846,45.42,97.7,1.35,12,100,3540000,32.1,53.05,46.77,4.22e+11,45.04,5.5,4.36e+11,31.98,-2.62,25.99,28.1,0.2,0.1,31.57,76,67.7,1.08,80.1,2.2836e+10,6600,597.92,,1.91,79.01,84.23
"Belgium",2012,9.09,2.38,4.96e+11,5.08e+11,99.94,12300000,111.62,80.72,100,100,5.05,4.09,29684338022,45.41,97.74,0.67,12,100,3690000,33.24,54.76,49.22,4.1e+11,47.69,5.3,4.49e+11,31.48,2.62,25.26,27.5,0.2,0.1,31.3,75.83,69.75,1.08,80.29,2.2357e+10,10633,957.33,,1.74,78.66,82.79
"Belgium",2013,7.83,-5.68,5.22e+11,5.35e+11,99.2,12300000,110.92,82.17,100,100,4.61,4.3,17271778736,45.76,97.79,0.52,12,100,3830000,34.31,57.48,50.55,4.33e+11,49.13,5.3,4.53e+11,30.99,0.53,23.64,27.7,0.1,0.1,31.29,75.75,71.78,1.08,81.59,2.4507e+10,14067,1260.55,,1.72,80.17,84.19
"Belgium",2014,7.45,-2.84,5.35e+11,5.47e+11,99.18,12700000,113.94,85,100,100,5.18,4.11,14787640970,46.07,97.83,0.49,12,100,4010000,35.78,59.15,52.55,4.43e+11,51.54,5.2,4.59e+11,30.2,1.19,23.18,28.1,0.1,0.1,30.82,75.74,74.04,1.08,82.34,2.6444e+10,18047,1610.04,,1.61,84.13,85.88
