"Country.Name","Year","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net.inflows....of.GDP.","GDP..current.US..","GNI..current.US..","Gross.national.expenditure....of.GDP.","Mobile_Cellular","Mobile_Cellular_Per100","Internet_Usage","Access_Electricity","Access.to.electricity..urban....of.urban.population.","Adjusted.savings..net.national.savings....of.GNI.","Employers..total....of.total.employment...modeled.ILO.estimate.","Foreign.direct.investment..net..BoP..current.US..","Labor.force..female....of.total.labor.force.","Urban.population....of.total.population.","Urban.population.growth..annual...","Compulsory.education..duration..years.","Access.to.electricity..rural....of.rural.population.","Fixed.broadband.subscriptions","Fixed_Broadband","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Adjusted.net.national.income..current.US..","Communications_Imports","Cost.of.business.start.up.procedures....of.GNI.per.capita.","GNI..constant.2015.US..","Labor.force.participation.rate.for.ages.15.24..total......national.estimate.","Adjusted.net.national.income.per.capita..annual...growth.","Employment.to.population.ratio..ages.15.24..total......national.estimate.","Gini_Index","Poverty_Rate","Poverty_Gap","Labor.force.with.basic.education....of.total.working.age.population.with.basic.education.","Labor.force.with.advanced.education....of.total.working.age.population.with.advanced.education.","School.enrollment..tertiary....gross.","School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI.","Educational.attainment..at.least.completed.lower.secondary..population.25...total......cumulative.","International.tourism..expenditures..current.US..","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Primary.completion.rate..total....of.relevant.age.group.","Adolescents.out.of.school....of.lower.secondary.school.age.","Internet_Female","Internet_Male","Internet_Gender_Gap","Mobile_Penetration_Ratio","Connectivity_Score","Log_Internet_Usage","Log_Mobile_Cellular","Log_Poverty_Gap","Log_Communications_Imports","Log_Fixed_Broadband","Poverty_Quartile","Internet_Level","Digital_Divide","Mobile_Internet_Interaction","Broadband_Mobile_Interaction","Poverty_Internet_Impact","Gini_Internet_Impact","Internet_Gender_Gap_Cat","Mobile_Penetration_Level","Connectivity_Level","Poverty_Connectivity_Group","Scaled_Internet_Usage","Scaled_Mobile_Cellular_Per100","Scaled_Fixed_Broadband","Scaled_Poverty_Gap","Scaled_Gini_Index","Scaled_Communications_Imports"
"Albania",2018,15.58,7.95,15156424015,15137984851,114.3,2710000,94.36,65.4,100,100,-0.17,3.29,-1208920406,43.39,60.32,1.32,9,100,362000,12.51,29.85,9.16,12442708488,13.73,11.3,12691888499,35.69,4.01,25.65,30.1,0,0,54.21,72.1,56.08,1.02,90.27,1.75e+09,1508,526.1,102.89,1.21,NA,NA,NA,0.9436,57.4233333333333,4.19569705648239,14.8124595618595,0,2.68988623047454,2.60343015197211,1,"High","Above Average",61.71144,1180.4436,65.4,45.7146,"Unknown","Under_Penetrated",2,"Medium_Balance",0.193045555802235,-0.913434799534502,-0.580122931707531,-0.620974165658279,-0.701574004982234,-1.69208934486948
"Albania",2019,15.01,7.8,15401826127,15200244588,114.36,2630000,91.52,68.55,100,100,-2.43,3.07,-1161056359,43.94,61.23,1.07,9,100,436000,15.12,30,9.86,12449979124,13.34,10.8,12808216512,36.59,1.18,26.72,30.1,0,0,55.18,75.47,61.41,1.02,90.71,1.852e+09,2190,767.29,98.72,2.06,65.96,71.16,5.2,0.9152,58.3966666666667,4.24204591836945,14.782494784382,0,2.66305283517147,2.78006073707848,1,"High","Above Average",62.73696,1383.7824,68.55,47.91645,"Medium_Gap","Under_Penetrated",2,"Medium_Balance",0.325423209923564,-1.02702389327373,-0.373208746657171,-0.620974165658279,-0.701574004982234,-1.71848085583993
"Argentina",2008,66.15,2.69,3.62e+11,3.53e+11,96.28,46500000,115.48,28.11,97.5,97.9,12.26,4.58,-8334618541,40.8,90.53,1.17,13,94,3110000,7.71,41.73,32.88,3.05e+11,34.68,12.8,5.2e+11,42.55,4.62,34.54,45,1.6,0.6,52.21,83.85,68.82,1.05,NA,5.987e+09,NA,NA,102.39,3.37,NA,NA,NA,1.1548,50.4333333333333,3.37108175775753,17.654962892063,0.470003629245736,3.57459030771181,2.16447179086441,3,"Medium","Below Average",32.461428,890.3508,27.94134,15.4605,"Unknown","Adequately_Penetrated",1,"Low_Access_High_Poverty",-1.37405372108169,-0.0687159052484061,-0.960654766282907,-0.0596742791692593,1.29741053794695,-0.274391511970007
"Argentina",2009,66.7,1.21,3.33e+11,3.23e+11,94.94,52500000,129,34,97.8,98.2,7.61,4.45,-3305612521,41.15,90.69,1.19,13,94.2,3510000,8.59,45.84,37.12,2.78e+11,38.96,16.1,4.87e+11,42.39,-8.44,33.42,43.8,1.6,0.5,51.91,83.88,71.04,1.05,NA,5.808e+09,NA,NA,103.05,3.15,NA,NA,NA,1.29,57.1966666666667,3.55534806148941,17.7763237466095,0.405465108108164,3.68787895378035,2.26072088889535,3,"Medium","Below Average",43.86,1108.11,33.83,19.108,"Unknown","Adequately_Penetrated",2,"Low_Access_High_Poverty",-1.12652852020085,0.472032174805951,-0.890890596610755,-0.153224260250763,1.13641849422111,0.0152384032953752
"Argentina",2010,67.06,2.68,4.24e+11,4.09e+11,97.1,57100000,138.89,45,98.8,98.8,6.94,4.51,-10367957946,40.6,90.85,0.43,13,98.6,4030000,9.76,43.33,35.41,3.54e+11,36.98,20.7,5.34e+11,41.05,11.29,33.11,43.7,0.7,0.3,51.24,83.84,74.19,1.04,NA,6.448e+09,1028,25.2,103.41,2.36,NA,NA,NA,1.3889,64.55,3.8286413964891,17.8603146921394,0.262364264467491,3.63705970538414,2.37583555473364,3,"Medium","Below Average",62.5005,1355.5664,44.865,25.335,"Unknown","Adequately_Penetrated",2,"Low_Access_High_Poverty",-0.664257347078751,0.867594194904884,-0.798135961933007,-0.340324222413769,1.12300249057729,-0.118749267785339
"Argentina",2011,68.26,2.04,5.3e+11,5.15e+11,98.31,60700000,146.25,51,99,99.2,6.89,4.48,-9351930945,40.49,90.99,1.31,13,97.8,4570000,10.96,46.08,36.73,4.43e+11,38,17.7,5.69e+11,40.92,7.57,33.25,42.7,0.7,0.3,51.48,83.64,77.43,1.04,NA,7.602e+09,1404,34.03,103.41,2.67,NA,NA,NA,1.4625,69.4033333333333,3.95124371858143,17.9214542725042,0.262364264467491,3.66356164612965,2.48156774852249,3,"High","Below Average",74.5875,1602.9,50.847,29.223,"Unknown","Adequately_Penetrated",3,"Medium_Balance",-0.412109434466696,1.16196593079246,-0.703003003289163,-0.340324222413769,0.988842454139086,-0.0497253160164863
"Argentina",2012,68.72,2.81,5.46e+11,5.33e+11,98.05,64300000,153.33,55.8,99.1,99.4,4.74,3.97,-14269084339,40.76,91.12,1.28,13,96.1,5150000,12.21,47.01,36.01,4.54e+11,37.48,15.4,5.66e+11,40.52,-2.49,33.11,41.4,0.6,0.3,50.87,82.47,78.46,1.03,NA,8.466e+09,2643,63.33,103.75,1.82,NA,NA,NA,1.5333,73.78,4.03953632572711,17.9790702047599,0.262364264467491,3.65013862579751,2.58097411853423,2,"High","Below Average",85.55814,1872.1593,55.6326,32.6988,"Unknown","Over_Penetrated",3,"High_Access_Low_Poverty",-0.210391104377053,1.44513874194519,-0.603906171368492,-0.340324222413769,0.814434406769426,-0.0849139973104114
"Argentina",2013,69.17,1.78,5.52e+11,5.4e+11,100.1,67400000,158.92,59.9,99.3,99.7,3.29,3.86,-8931688999,40.67,91.25,1.26,13,95.4,6250000,14.68,47.05,37.77,4.6e+11,39.03,23.2,5.81e+11,40.1,1.01,32.31,41.1,0.7,0.3,49.78,82.65,78.77,1.03,NA,8.421e+09,3117,73.86,103.37,1.48,NA,NA,NA,1.5892,77.8333333333333,4.10923317471585,18.0261555907193,0.262364264467491,3.68962917300448,2.75238601492226,3,"High","Below Average",95.19308,2332.9456,59.7203,35.2811,"Unknown","Over_Penetrated",3,"Medium_Balance",-0.0380900307588151,1.66871727504459,-0.408090831493247,-0.340324222413769,0.774186395837966,0.0199753411618651
"Argentina",2014,67.79,0.96,5.26e+11,5.16e+11,99.6,61200000,142.99,64.7,100,100,3.57,3.48,-3144794109,40.82,91.38,1.24,13,100,6520000,15.15,43.11,37.89,4.38e+11,39.3,17.7,5.67e+11,38.6,-4.65,31.33,41.8,0.6,0.3,49.83,82.21,81.17,1.03,NA,7.837e+09,3837,89.92,105.39,1.2,NA,NA,NA,1.4299,74.28,4.18509892549057,17.9296577638224,0.262364264467491,3.69635146895264,2.78192004966867,2,"High","Above Average",92.51453,2166.2985,64.5059,37.6554,"Unknown","Adequately_Penetrated",3,"High_Access_Low_Poverty",0.163628299330829,1.03157844995095,-0.370830422691074,-0.340324222413769,0.868098421344706,0.0382463872183259
"Argentina",2015,65.4,1.98,5.95e+11,5.84e+11,101.07,61800000,142.96,68.04,99.7,99.9,2.35,3.61,-10883760784,41.03,91.5,1.22,14,97.6,6860000,15.77,43.57,34.61,5.07e+11,35.73,11.4,5.84e+11,NA,4.14,NA,NA,NA,NA,NA,NA,83.76,1.03,NA,9.348e+09,5317,123.27,106.05,1.07,NA,NA,NA,1.4296,75.59,4.23468604677517,17.9394139386091,NA,3.60359385983158,2.81959157583512,NA,"High","Above Average",97.269984,2254.4792,NA,NA,"Unknown","Adequately_Penetrated",3,"Medium_Balance",0.30399063735154,1.03037856515793,-0.321678394058422,NA,NA,-0.203337443972659
"Argentina",2016,61.85,0.58,5.58e+11,5.45e+11,101.04,63700000,145.92,70.97,99.9,100,2.48,3.68,-1473633407,41.23,91.63,1.19,14,99.3,7250000,16.52,46.25,31.18,4.74e+11,31.97,10.8,5.69e+11,NA,-2.96,NA,42.3,0.7,0.3,NA,NA,86.62,1.02,NA,1.2273e+10,32040,735.02,106.54,0.71,70.12,71.91,1.78999999999999,1.4592,77.8033333333333,4.27624936551971,17.969695136241,0.262364264467491,3.49559805708364,2.86334308550825,3,"High","Above Average",103.559424,2410.5984,70.75709,40.94969,"Low_Gap","Adequately_Penetrated",3,"Medium_Balance",0.427122868010426,1.14876719806924,-0.262220294906019,-0.340324222413769,0.935178439563806,-0.457778677944116
"Argentina",2017,57.78,1.79,6.44e+11,6.27e+11,102.65,61900000,140.5,74.29,100,100,2.49,3.81,-10361231244,41.44,91.75,1.17,14,100,7840000,17.71,51.04,31.06,5.54e+11,31.71,10.4,5.83e+11,38.96,4.65,30.14,41.4,0.6,0.2,48.5,79.03,89.23,1.02,NA,1.418e+10,71731,1628.59,101.58,0.75,73.49,75.17,1.68000000000001,1.405,77.5,4.32134732386203,17.9410307538099,0.182321556793955,3.48768084155029,2.929058140286,2,"High","Above Average",104.37745,2488.255,74.14142,43.53394,"Low_Gap","Adequately_Penetrated",3,"High_Access_Low_Poverty",0.566644712989097,0.931988012130293,-0.16788011091754,-0.433874203495272,0.814434406769426,-0.475373018591078
"Argentina",2018,51.03,2.23,5.25e+11,5.06e+11,101.89,58600000,131.94,77.7,100,100,0.24,3.91,-9990788246,42.15,91.87,1.15,14,99.9,8470000,18.98,48.84,31.85,4.4e+11,32.48,5.3,5.61e+11,39.41,-6.56,30.06,41.7,1,0.4,48.46,79.58,90.97,1.02,NA,1.3084e+10,83320,1872.59,100.28,0.69,NA,NA,NA,1.3194,76.2066666666667,4.36564315542336,17.8862452716121,0.336472236621213,3.51094824562127,2.99473177322041,3,"Very High","Above Average",102.51738,2504.2212,77.3892,45.2991,"Unknown","Adequately_Penetrated",3,"Medium_Balance",0.709948776656948,0.589620884521913,-0.0671977296861389,-0.246774241332266,0.854682417700886,-0.42326670205969
"Argentina",2019,46.15,1.49,4.48e+11,4.3e+11,96.78,56400000,125.94,79.95,100,100,2.04,3.79,-5126459686,42.38,91.99,1.13,14,100,8790000,19.55,49.32,36.6,3.7e+11,37.24,5,5.49e+11,39,-6.03,28.92,43.3,1.1,0.4,48.75,80.41,95.08,1.02,NA,9.845e+09,135647,3018.49,100.38,0.6,NA,NA,NA,1.2594,75.1466666666667,4.39383168012364,17.8479797341988,0.336472236621213,3.6438820881832,3.02286094094224,3,"Very High","Above Average",100.68903,2462.127,79.6302,45.33165,"Unknown","Adequately_Penetrated",3,"Medium_Balance",0.804504243886468,0.349643925917908,-0.0220095743303129,-0.246774241332266,1.06933847600201,-0.101154927138376
"Armenia",2008,25.22,8.09,11662040714,12353321002,132.63,1440000,48.33,6.21,99.2,99.4,15.16,0.62,-913226598.5,49.75,63.64,-0.86,10,98.9,13800,0.47,18.77,12.8,10947116645,14.7,3.6,10313163849,33.26,10.05,18.21,29.2,0.9,0.2,38.43,70.5,46,1,NA,4.94e+08,NA,NA,98.66,NA,NA,NA,NA,0.4833,18.3366666666667,1.97546895129686,14.1801543659964,0.182321556793955,2.75366071235426,0.385262400790645,3,"Low","Below Average",3.001293,22.7151,6.19758,4.39668,"Unknown","Under_Penetrated",1,"Low_Access_High_Poverty",-2.29439360211569,-2.75445803362489,-1.53462361676743,-0.433874203495272,-0.822318037776614,-1.62644892014812
"Armenia",2009,28.27,8.79,8647937081,9006718596,137.98,2190000,73.93,15.3,99.3,99.4,1.79,0.63,-707800329.9,49.87,63.54,-0.8,10,99,39900,1.35,16.24,14.82,7921367056,16.57,2.6,8681469013,NA,-21.45,19.04,28,1.2,0.2,37.74,65.66,47.38,0.99,NA,4.96e+08,NA,NA,NA,5.32,NA,NA,NA,0.7393,30.1933333333333,2.79116510781272,14.5994125584136,0.182321556793955,2.86619290219901,0.854415328156068,3,"Low","Below Average",11.31129,99.8055,15.2694,11.016,"Unknown","Under_Penetrated",1,"Low_Access_High_Poverty",-1.91238951450842,-1.73055634358114,-1.46485944709528,-0.433874203495272,-0.983310081502454,-1.49990500857189
"Armenia",2010,29.07,5.72,9260285756,9718566996,137.12,3870000,131.19,25,99.8,99.7,0.58,0.62,-501862329,50.01,63.44,-0.77,10,100,93600,3.19,18.07,12.87,8398953354,14.39,3.1,8939510151,NA,2.21,22.7,30,1,0.2,39.61,68.55,47.75,1,98.25,6.41e+08,30,10.18,91.54,6.79,NA,NA,NA,1.3119,53.1266666666667,3.25809653802148,15.1687653234039,0.182321556793955,2.73371794785079,1.43270073393405,3,"Medium","Below Average",32.7975,418.4961,24.95,17.5,"Unknown","Adequately_Penetrated",1,"Low_Access_High_Poverty",-1.50475038911893,0.559623764696412,-1.31898891050805,-0.433874203495272,-0.714990008626054,-1.64742678784258
"Armenia",2011,28.69,6.44,10142111825,10502185417,131.84,3210000,109.64,32,99.5,99.6,-0.9,0.62,-434138222.4,50.17,63.34,-0.75,11,99.3,161000,5.49,27.99,10.18,9080773851,11.82,2.9,9237399516,38.96,3.29,23.56,29.4,1.2,0.2,40.4,69.8,47.82,1.01,96.6,7.56e+08,54,18.44,93.47,9.61,NA,NA,NA,1.0964,49.0433333333333,3.49650756146648,14.9817818066326,0.182321556793955,2.55100645149252,1.870262530716,3,"Medium","Below Average",35.0848,601.9236,31.936,22.592,"Unknown","Adequately_Penetrated",1,"Low_Access_High_Poverty",-1.21057782440487,-0.302293478289637,-1.13665073977402,-0.433874203495272,-0.795486030488974,-1.82134007808371
"Armenia",2012,29.08,4.68,10619320683,11042356845,121.47,3320000,114.01,37.5,99.5,99.7,1.4,0.63,-473210732.1,50.32,63.24,-0.66,12,99.2,212000,7.26,26.36,9.31,9592549255,10.81,2.5,9958810855,38.1,13.64,24.6,29.6,0.8,0.2,39.29,69.97,41.48,NA,98.81,8.74e+08,87,29.85,93.56,NA,NA,NA,NA,1.1401,52.9233333333333,3.65065824129374,15.0154756420974,0.182321556793955,2.46894663020927,2.11142458753289,3,"Medium","Below Average",42.75375,827.7126,37.425,26.4,"Unknown","Adequately_Penetrated",1,"Low_Access_High_Poverty",-0.97944223784382,-0.127510260106387,-0.996329625774349,-0.433874203495272,-0.768654023201334,-1.88968732444306
"Armenia",2013,25.41,3.11,11121464437,11804011412,120.88,3350000,115.33,41.9,99.4,99.4,1.97,0.62,-315829524.3,50.44,63.16,-0.57,12,99.4,243000,8.32,27.66,8.73,10304677648,10.18,1.1,10486189417,39.39,3.92,25.09,30.6,1.7,0.3,38.07,70.18,41.62,1.03,99.05,1.007e+09,158,54.46,NA,NA,40.35,43.81,3.46,1.1533,55.1833333333333,3.75887182593397,15.0244712023087,0.262364264467491,2.41412646772695,2.2321626286975,3,"Medium","Below Average",48.32327,959.5456,41.7743,29.0786,"Medium_Gap","Adequately_Penetrated",1,"Low_Access_High_Poverty",-0.79453376859498,-0.0747153292135064,-0.91229551230562,-0.340324222413769,-0.634493986763134,-1.93231976524147
"Armenia",2014,27.22,3.5,11609513247,12131729270,118.92,3460000,119.7,54.62,99.7,99.7,0.54,0.62,-377774324,50.56,63.11,-0.48,12,99.8,273000,9.34,26.16,8.85,10623316108,10.31,1,10694904824,37.57,1.63,23.67,31.5,1.4,0.2,33.76,74.52,44.41,1.04,99.15,1.101e+09,182,62.98,94.6,NA,52.98,56.6,3.62,1.197,61.22,4.01854284880582,15.0567794360512,0.182321556793955,2.42568729012803,2.33601986908028,3,"High","Below Average",65.38014,1117.998,54.51076,37.4147,"Medium_Gap","Adequately_Penetrated",2,"Low_Access_High_Poverty",-0.259980193857423,0.100067888969744,-0.831432497458353,-0.433874203495272,-0.513749953968754,-1.92352259491799
"Armenia",2015,24.66,1.74,10553337518,10981745036,111.76,3460000,120.35,59.1,100,100,4.45,0.63,-155376062,50.68,63.09,-0.44,12,100,286000,9.8,24.28,10.47,9466501710,12.03,1,10981745036,39.47,-1.02,26.86,32.4,1.1,0.2,42.33,76.86,45.47,1.04,97.22,1.057e+09,224,77.82,94.23,NA,57.75,60.75,3,1.2035,63.0833333333333,4.09600984154116,15.0567794360512,0.182321556793955,2.56725439113675,2.37954613413017,3,"High","Below Average",71.12685,1179.43,58.9818,39.9516,"Medium_Gap","Adequately_Penetrated",2,"Low_Access_High_Poverty",-0.0717097524404223,0.126065392818511,-0.794964863311546,-0.433874203495272,-0.393005921174374,-1.80712926448424
"Armenia",2016,24.62,3.17,10546136236,10791195837,107.77,3430000,119.85,64.35,99.8,99.8,3.87,0.63,-263304563.1,50.77,63.08,-0.45,12,99.8,299000,10.25,24.81,10.17,9300728052,11.94,0.9,10830558437,34.65,-1.03,22.07,32.5,1.1,0.2,38.77,74.62,51.75,NA,88.77,1.033e+09,557,194.36,105.01,5.22,63.37,65.55,2.18,1.1985,64.8166666666667,4.17975744007023,15.0480711106873,0.182321556793955,2.56032328907275,2.42036812865043,3,"High","Above Average",77.123475,1228.4625,64.2213,43.43625,"Low_Gap","Adequately_Penetrated",2,"Low_Access_High_Poverty",0.148919671095125,0.106067312934843,-0.759290003820104,-0.433874203495272,-0.379589917530554,-1.81321961316972
