"Access.to.electricity....of.population.","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications..computer..etc.....of.service.imports..BoP.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini.index","Individuals.using.the.Internet....of.population.","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people."
99.3,97.9,99.9,58.18,59.1,56.08,36.2198132780083,29.5,94,2.43,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43300000,111.71
99.4,98.1,99.9,57.91,58.37,55.85,36.2198132780083,38.2,152,3.84,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43200000,109.32
99.4,98.3,99.9,60.28,60.05,58.43,36.2198132780083,42.95,309,7.66,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4.7e+07,116.61
99.5,98.6,99.9,61.31,61.24,59.59,36.2198132780083,47.69,2621,63.71,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,45800000,111.45
99.6,98.9,99.9,62.67,62.92,61.45,36.2198132780083,49.04,2855,68.09,5.74672131147541,1.96690573770492,42.86,55.13,47200000,112.47
99.5,98.7,99.8,57.04,62.79,54.73,36.2198132780083,58.98,2154,50.44,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,45400000,106.37
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,3,54.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,18.41,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,18.63,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,24,459.62,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,19.47,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,10,198.22,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,55,1111.94,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,25,516.27,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,19,401.51,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,70.04,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,64202,84.42
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,78.53,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,64549,87.4
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,81,58,810.97,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,65495,91.58
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,81,79,1119.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,65044,92.17
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,82.7,92,1295.54,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,63865,89.94
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,84.4,79,1106.95,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,63931,89.58
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,86.1,87,1214.73,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,66241,92.49
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,87.9,158,2202.21,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,71336,99.43
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,89.7,219,3019.02,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,76132,104.95
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,91.57,263,3561.9,5.74672131147541,1.96690573770492,90.27,92.85,80337,108.8
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,400,5332.41,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,82614,110.13
100,100,100,47.95,9.03,47.82,36.2198132780083,90.72,1557,20394.8,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,87909,115.15
38.5,6.6,61.3,72.85,9.12,70.61,42.7,1.9,82041.0339782916,3567.78490926012,14.6,4,63.99525,67.5129845422117,6770000,31.23
33.8,77.8707367149758,57.7,73.59,9.17,72.2,36.2198132780083,2.3,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,8110000,36.03
35,77.8707367149758,73.6,76.94,11.1,73.02,36.2198132780083,2.8,30,1.28,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,9400000,40.25
34.6,77.8707367149758,82.5,81.82,8.11,80.8,36.2198132780083,4.7,45,1.85,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,12100000,49.77
37.3,77.8707367149758,70.3,77.88,6.69,76.87,36.2198132780083,7.7,80,3.18,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,12800000,50.76
38.4,77.8707367149758,68.6,74.58,4.36,72.71,36.2198132780083,13,119,4.55,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13300000,50.81
32,77.8707367149758,51,75.42,3.99,74.72,36.2198132780083,21.36,160,5.9,5.74672131147541,1.96690573770492,20.2,22.39,14100000,51.8
42,3.8,64,72.37,5.43,71.21,36.2198132780083,22,227,8.07,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13900000,49.36
41.8,77.8707367149758,67.9,65.6,7.8,64.2,36.2198132780083,23.2,240,8.23,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1.3e+07,44.59
42.9,77.8707367149758,69.4,64.83,8.23,62.41,36.2198132780083,26,322,10.66,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13300000,44.11
45.3,7.3,65.3,53.89,9.39,52.39,51.3,29,345,11.03,31.1,11.9,63.99525,67.5129845422117,13300000,42.49
45.6,77.8707367149758,72.2,49.96,8.51,48.94,36.2198132780083,32.13,469,14.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,14800000,45.84
100,100,100,53.49,5,52.32,36.2198132780083,38,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,136592,164.07
98.5,98,99.9,59.62,5.19,58.7,36.2198132780083,42,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,134925,159.61
98.7,98.2,100,56.93,5.02,55.78,36.2198132780083,47,60,700.16,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,167970,196.01
94.6,92.7,100,58.54,4.91,57.73,36.2198132780083,52,73,841.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,176008,202.94
100,100,100,55.95,5.1,55.18,36.2198132780083,58,47,536.08,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,127381,145.29
100,100,100,55.35,4.9,54.26,36.2198132780083,63.4,65,734.49,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,114358,129.22
100,100,100,50.06,5.75,50.01,36.2198132780083,67.78,72,806.85,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,120041,134.52
100,100,100,54.1,7.16,54.07,36.2198132780083,70,65,722.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,176000,195.69
100,100,100,57.04,6.44,57.04,36.2198132780083,73,76,839.19,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,180000,198.75
100,100,100,53.92,5.89,53.92,36.2198132780083,76.2,85,932.85,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,184000,201.93
100,100,100,52.6,5.37,52.6,36.2198132780083,79.6,81,884.03,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,53.25,4.94,53.25,36.2198132780083,83.2,87,944.45,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,184000,199.75
97.5,94,97.9,34.68,41.73,32.88,45,28.11,82041.0339782916,3567.78490926012,1.6,0.6,63.99525,67.5129845422117,46500000,115.48
97.8,94.2,98.2,38.96,45.84,37.12,43.8,34,82041.0339782916,3567.78490926012,1.6,0.5,63.99525,67.5129845422117,52500000,129
98.8,98.6,98.8,36.98,43.33,35.41,43.7,45,1028,25.2,0.7,0.3,63.99525,67.5129845422117,57100000,138.89
99,97.8,99.2,38,46.08,36.73,42.7,51,1404,34.03,0.7,0.3,63.99525,67.5129845422117,60700000,146.25
99.1,96.1,99.4,37.48,47.01,36.01,41.4,55.8,2643,63.33,0.6,0.3,63.99525,67.5129845422117,64300000,153.33
99.3,95.4,99.7,39.03,47.05,37.77,41.1,59.9,3117,73.86,0.7,0.3,63.99525,67.5129845422117,67400000,158.92
100,100,100,39.3,43.11,37.89,41.8,64.7,3837,89.92,0.6,0.3,63.99525,67.5129845422117,61200000,142.99
99.7,97.6,99.9,35.73,43.57,34.61,36.2198132780083,68.04,5317,123.27,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,61800000,142.96
99.9,99.3,100,31.97,46.25,31.18,42.3,70.97,32040,735.02,0.7,0.3,70.12,71.91,63700000,145.92
100,100,100,31.71,51.04,31.06,41.4,74.29,71731,1628.59,0.6,0.2,73.49,75.17,61900000,140.5
100,99.9,100,32.48,48.84,31.85,41.7,77.7,83320,1872.59,1,0.4,63.99525,67.5129845422117,58600000,131.94
100,100,100,37.24,49.32,36.6,43.3,79.95,135647,3018.49,1.1,0.4,63.99525,67.5129845422117,56400000,125.94
99.2,98.9,99.4,14.7,18.77,12.8,29.2,6.21,82041.0339782916,3567.78490926012,0.9,0.2,63.99525,67.5129845422117,1440000,48.33
99.3,99,99.4,16.57,16.24,14.82,28,15.3,82041.0339782916,3567.78490926012,1.2,0.2,63.99525,67.5129845422117,2190000,73.93
99.8,100,99.7,14.39,18.07,12.87,30,25,30,10.18,1,0.2,63.99525,67.5129845422117,3870000,131.19
99.5,99.3,99.6,11.82,27.99,10.18,29.4,32,54,18.44,1.2,0.2,63.99525,67.5129845422117,3210000,109.64
99.5,99.2,99.7,10.81,26.36,9.31,29.6,37.5,87,29.85,0.8,0.2,63.99525,67.5129845422117,3320000,114.01
99.4,99.4,99.4,10.18,27.66,8.73,30.6,41.9,158,54.46,1.7,0.3,40.35,43.81,3350000,115.33
99.7,99.8,99.7,10.31,26.16,8.85,31.5,54.62,182,62.98,1.4,0.2,52.98,56.6,3460000,119.7
100,100,100,12.03,24.28,10.47,32.4,59.1,224,77.82,1.1,0.2,57.75,60.75,3460000,120.35
99.8,99.8,99.8,11.94,24.81,10.17,32.5,64.35,557,194.36,1.1,0.2,63.37,65.55,3430000,119.85
99.7,99.5,99.8,10.5,25.76,9.1,33.6,64.74,799,280.16,0.8,0.1,63.44,66.31,3490000,122.32
99.9,99.9,99.9,12.52,24.56,10.91,34.4,68.25,989,348.66,1.3,0.2,66.9,69.89,3580000,126.18
100,100,100,11.55,22.38,10.06,30,66.54,1416,502.02,1,0.1,67.23,65.79,3620000,128.3
100,100,100,42.19,10.67,39.51,36.2198132780083,52,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,120806,123.28
100,100,100,43.94,14.59,40.3,36.2198132780083,58,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,128000,129.02
93.4,100,100,46.02,14.75,42.79,36.2198132780083,62,9,89.69,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,131800,131.35
100,100,100,43.45,13.86,40.93,36.2198132780083,69,13,128.35,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,48.01,15.06,45.39,36.2198132780083,74,26,254.62,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,135000,132.21
100,100,100,46.81,7.98,43.66,36.2198132780083,78.9,44,427.68,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,138800,134.91
100,100,100,46.81,7.81,44.39,36.2198132780083,83.78,59,569.53,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,139700,134.85
100,100,100,43.81,7.52,41.14,36.2198132780083,88.66,79,757.74,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,141000,135.24
100,100,100,47.43,7,44.63,36.2198132780083,93.54,123,1172.84,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,46.74,6.79,44.46,36.2198132780083,97.17,103,976.87,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,47.2,6.37,44.83,36.2198132780083,43.7411033057851,122,1151.36,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,45.2,6.41,42.94,36.2198132780083,43.7411033057851,149,1399.82,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,141000,132.47
100,100,100,26.53,21.76,25.59,35.4,71.67,82041.0339782916,3567.78490926012,0.4,0.3,70.94,72.43,22100000,104.1
100,100,100,29.05,21.17,28.07,36.2198132780083,74.25,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,73.4,75.12,22200000,102.49
100,100,100,26.99,21.3,25.98,34.7,76,30906,1402.79,0.3,0.3,63.99525,67.5129845422117,22500000,102.18
100,100,100,27.55,21.38,26.54,36.2198132780083,79.49,48509,2171.39,5.74672131147541,1.96690573770492,78.4,80.6,23800000,106.4
100,100,100,27.11,22.23,26.1,36.2198132780083,79,72472,3187.9,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,24300000,107.08
100,100,100,27.91,22.2,26.89,36.2198132780083,83.45,81067,3505.13,5.74672131147541,1.96690573770492,82.79,84.14,24900000,107.91
100,100,100,28.41,21.7,27.34,34.4,84,92461,3938.59,0.5,0.3,63.99525,67.5129845422117,25100000,106.78
100,100,100,28.5,20.84,27.49,36.2198132780083,84.56,108937,4574.11,5.74672131147541,1.96690573770492,84.88,84.16,25800000,108.19
100,100,100,27.1,20.46,25.96,33.7,86.54,237318,9810.22,0.5,0.3,63.99525,67.5129845422117,26600000,109.73
100,100,100,27.41,20.35,26.24,36.2198132780083,86.55,530042,21552.92,5.74672131147541,1.96690573770492,86.12,87.02,26700000,108.42
100,100,100,27.62,20.35,26.37,34.3,90,822020,32929.2,0.5,0.4,63.99525,67.5129845422117,27600000,110.65
100,100,100,29.06,21.53,27.72,36.2198132780083,93.61,931399,36763.58,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.8e+07,110.3
100,100,100,37.72,31.93,37.54,30.4,72.87,82041.0339782916,3567.78490926012,0.5,0.2,66.87,78.98,10800000,129.98
100,100,100,37.75,33.29,37.55,31.5,73.45,82041.0339782916,3567.78490926012,0.7,0.4,68.26,78.75,11400000,137.05
100,100,100,35.4,31.34,35.2,30.3,75.17,5772,690.15,0.5,0.3,70.74,79.69,12200000,146.37
100,100,100,36.34,33.25,36.16,30.8,78.74,8966,1068.44,0.4,0.3,73.77,83.81,1.3e+07,155.19
100,100,100,38.78,35.17,38.61,30.5,80.03,13601,1613.41,0.6,0.4,76.04,84.11,13600000,161.19
100,100,100,43.29,37.12,43.15,30.8,80.62,15751,1857.47,0.3,0.2,76.96,84.35,13300000,156.52
100,100,100,43.85,39.03,43.73,30.5,81,20044,2345.33,0.2,0.1,77.19,84.88,1.3e+07,151.56
100,100,100,44.41,39.27,44.29,30.5,83.94,26636,3081.91,0.7,0.5,79.69,88.27,13500000,155.87
100,100,100,44.79,39.81,44.67,30.8,84.32,38878,4449.98,0.7,0.5,80.73,87.96,11100000,126.82
100,100,100,45.33,40.75,45.22,29.7,87.94,65381,7431.71,0.3,0.2,85.16,90.73,10900000,123.43
100,100,100,47.93,41.6,47.83,30.8,87.48,147681,16705.01,0.6,0.4,85.44,89.55,1.1e+07,124.25
100,100,100,49.34,41.93,49.24,30.2,87.75,233527,26298.32,0.6,0.4,85.27,90.28,10700000,120.79
99.7,99.5,99.8,72.15,37.16,71.69,36.2198132780083,17.08,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,12.63,21.64,6550000,72.76
99.9,99.9,99.9,64.65,48.22,64.05,36.2198132780083,27.4,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,22.96,32.01,7760000,85.06
99.9,99.9,100,56.66,45.2,55.71,36.2198132780083,46,23,2.54,5.74672131147541,1.96690573770492,36.55,55.63,9100000,98.52
99.9,99.9,99.9,51.94,29.51,51.11,36.2198132780083,50,45,4.91,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10100000,108.13
100,100,100,51.26,31.91,50.6,36.2198132780083,54.2,100,10.76,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10100000,106.74
100,100,100,51.58,22.07,50.72,36.2198132780083,73,158,16.78,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10100000,105.36
100,100,100,60.01,16.36,59.23,36.2198132780083,75,219,22.97,5.74672131147541,1.96690573770492,71.69,78.34,10600000,108.32
100,100,100,56.51,13,55.91,36.2198132780083,77,321,33.27,5.74672131147541,1.96690573770492,73.2,80.83,10700000,108.45
100,100,100,52.89,11.81,52.33,36.2198132780083,78.2,994,101.87,5.74672131147541,1.96690573770492,74.71,81.71,10200000,102.13
100,100,100,52.04,13.9,51.66,36.2198132780083,79,2557,259.49,5.74672131147541,1.96690573770492,74.98,83.12,10100000,100.55
100,100,100,41.35,16.82,40.71,36.2198132780083,79.8,3274,329.38,5.74672131147541,1.96690573770492,75.82,83.86,10300000,101.84
100,100,100,48.64,21.43,48.05,36.2198132780083,81.1,3697,368.8,5.74672131147541,1.96690573770492,78.03,84.23,10800000,105.06
100,100,100,44.99,11.91,40.91,36.2198132780083,31.54,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,358050,98.69
100,100,100,43.16,9.43,36.44,36.2198132780083,33.88,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,358812,97.49
100,100,100,37.78,7.78,33.23,36.2198132780083,43,130,348.27,5.74672131147541,1.96690573770492,67.04,62.28,428377,114.76
100,100,100,41.24,7.06,39.63,36.2198132780083,65,149,394.23,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,298790,79.06
100,100,100,43.57,8.04,42.99,36.2198132780083,71.75,193,505.15,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3e+05,78.52
100,100,100,51.32,8.31,50.93,36.2198132780083,72,228,591.21,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,287000,74.42
100,100,100,55.69,8.99,55.37,36.2198132780083,76.92,274,704.13,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,314842,80.91
100,100,100,41.58,7.17,40.86,36.2198132780083,78,375,954.93,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,311175,79.24
100,100,100,53.37,6.17,46.18,36.2198132780083,80,398,1005.11,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,360200,90.97
100,100,100,47.71,4.8,43.46,36.2198132780083,80.6,576,1443.54,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,353540,88.6
100,100,100,45.89,6.58,41.49,36.2198132780083,83,909,2261.72,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,388707,96.72
100,100,100,49.36,4.69,43.62,36.2198132780083,90.69,618,1527.6,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,425507,105.18
100,100,100,9.49,27.4,9.49,36.2198132780083,51.95,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1440000,129.76
100,100,100,11.53,28.88,11.53,36.2198132780083,53,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1400000,118.87
100,100,100,11.03,27.51,11.03,36.2198132780083,55,93,76.63,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1570000,129.12
100,100,100,18.62,35.73,18.62,36.2198132780083,77,140,115.5,5.74672131147541,1.96690573770492,90.01,70,1690000,139.73
100,100,100,16.54,25.24,16.54,36.2198132780083,88,271,221.24,5.74672131147541,1.96690573770492,90,86.92,2120000,173.39
100,100,100,14.5,25.7,14.5,36.2198132780083,90,326,258.39,5.74672131147541,1.96690573770492,63.99525,82.16,2210000,175.18
100,100,100,15.41,25.26,15.41,36.2198132780083,90.5,386,294.4,5.74672131147541,1.96690573770492,95,88,2330000,177.63
100,100,100,12.01,21.05,12.01,36.2198132780083,93.48,450,330.36,5.74672131147541,1.96690573770492,95.15,92.55,2520000,184.93
100,100,100,10.61,18.14,10.21,36.2198132780083,98,494,350.44,5.74672131147541,1.96690573770492,99,97.47,2990000,212.45
