"Access_Electricity","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications_Imports","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini_Index","Internet_Usage","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty_Rate","Poverty_Gap","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile_Cellular_Subscriptions","Log_Internet_Usage","Log_Access_Electricity","Log_Gini_Index","Log_Poverty_Rate","Log_Mobile_Cellular_Subscriptions","Log_Poverty_Gap","Log_Communications_Imports","Scaled_Internet_Usage","Scaled_Access_Electricity","Scaled_Gini_Index","Scaled_Poverty_Rate","Scaled_Mobile_Cellular_Subscriptions","Scaled_Poverty_Gap","Scaled_Communications_Imports","Access_Electricity_x_Gini","Poverty_Gap_x_Electricity","Communications_x_Internet","Internet_x_Electricity","Mobile_Cellular_x_Gini","Poverty_Quartile"
99,97.6,99.7,66.93,65.72,65.42,27.6,14.9,18,0.49,0,0,63.99525,67.5129845422117,35600000,97.46,2.76631910922619,4.60517018598809,3.35340671782581,0,4.58965037433005,0,4.21847776320321,-1.01766520242809,0.601332833438701,-1.87161747295114,-0.758057421844736,-0.0202254852476514,-0.648534489607019,2.01731902539911,2732.4,0,997.257,1475.1,2689.896,1
98.8,97.7,99.3,58.2,64.09,56.59,36.2198132780083,18.2,46,1.23,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,37500000,100.72,2.95491027903374,4.60316818331742,3.6168412344903,1.90905665524534,4.62222394055392,1.08751957056636,4.08092154188996,-0.901223916101185,0.594052544041877,1.558227305166e-13,-1.75741141726725e-14,0.0580241298329921,-1.39105197240841e-14,1.43984261091497,3578.51755186722,194.330286885246,1059.24,1798.16,3648.059593361,2
99.2,97.8,99.8,55.86,63.93,53.63,36.2198132780083,22.5,68,1.79,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,39500000,103.99,3.15700042115011,4.60716818865076,3.6168412344903,1.90905665524534,4.65386510752685,1.08751957056636,4.04059210622285,-0.749497391493405,0.608613122835525,1.558227305166e-13,-1.75741141726725e-14,0.136513774407748,-1.39105197240841e-14,1.28505511837283,3593.00547717842,195.117049180328,1256.85,2232,3766.49838278008,2
99.3,97.9,99.9,58.18,59.1,56.08,36.2198132780083,29.5,94,2.43,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43300000,111.71,3.41772668361337,4.60816569496789,3.6168412344903,1.90905665524534,4.72481814825399,1.08751957056636,4.08058364697206,-0.50250072352725,0.612253267533936,1.558227305166e-13,-1.75741141726725e-14,0.321816543862523,-1.39105197240841e-14,1.43851964089325,3596.62745850622,195.313739754099,1716.31,2929.35,4046.11534128631,2
99.4,98.1,99.9,57.91,58.37,55.85,36.2198132780083,38.2,152,3.84,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43200000,109.32,3.66867674679642,4.60916220725763,3.6168412344903,1.90905665524534,4.70338523348505,1.08751957056636,4.0760108555336,-0.195519150483601,0.615893412232349,1.558227305166e-13,-1.75741141726725e-14,0.264449494769659,-1.39105197240841e-14,1.42065954559992,3600.24943983403,195.510430327869,2212.162,3797.08,3959.54998755187,2
99.4,98.3,99.9,60.28,60.05,58.43,36.2198132780083,42.95,309,7.66,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4.7e+07,116.61,3.78305262413119,4.60916220725763,3.6168412344903,1.90905665524534,4.76737406586295,1.08751957056636,4.11545352543234,-0.0279142686494248,0.615893412232349,1.558227305166e-13,-1.75741141726725e-14,0.4394309959776,-1.39105197240841e-14,1.57743149317465,3600.24943983403,195.510430327869,2589.026,4269.23,4223.59242634855,2
99.5,98.6,99.9,61.31,61.24,59.59,36.2198132780083,47.69,2621,63.71,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,45800000,111.45,3.88547367019461,4.61015772749913,3.6168412344903,1.90905665524534,4.72250867840532,1.08751957056636,4.13212192655613,0.139337760801943,0.61953355693076,1.558227305166e-13,-1.75741141726725e-14,0.315575777015601,-1.39105197240841e-14,1.64556444929363,3603.87142116183,195.70712090164,2923.8739,4745.155,4036.69818983403,2
99.6,98.9,99.9,62.67,62.92,61.45,36.2198132780083,49.04,2855,68.09,5.74672131147541,1.96690573770492,42.86,55.13,47200000,112.47,3.91282268559871,4.61115225766564,3.6168412344903,1.90905665524534,4.7315384848029,1.08751957056636,4.15371349402893,0.18697283248113,0.623173701629172,1.558227305166e-13,-1.75741141726725e-14,0.340058785415066,-1.39105197240841e-14,1.73552641077111,3607.49340248963,195.90381147541,3073.3368,4884.384,4073.64239937759,2
99.5,98.7,99.8,57.04,62.79,54.73,36.2198132780083,58.98,2154,50.44,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,45400000,106.37,4.09401117332086,4.61015772749913,3.6168412344903,1.90905665524534,4.67628081344604,1.08751957056636,4.06113242801599,0.537708100993069,0.61953355693076,1.558227305166e-13,-1.75741141726725e-14,0.1936407940065,-1.39105197240841e-14,1.36311034965477,3603.87142116183,195.70712090164,3364.2192,5868.51,3852.70153838174,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,3,54.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,18.41,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,18.63,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,24,459.62,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,19.47,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,10,198.22,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,55,1111.94,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,25,516.27,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,19,401.51,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.8008926161465,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,70.04,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,64202,84.42,4.26324309868391,4.61512051684126,3.6168412344903,1.90905665524534,4.44758026541332,1.08751957056636,3.62255743873369,0.927962836379593,0.63773428042282,1.558227305166e-13,-1.75741141726725e-14,-0.333223945570225,-1.39105197240841e-14,-1.17503342320873e-14,3621.98132780083,196.690573770492,2551.77982714286,7004,3057.67663692946,2
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,78.53,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,64549,87.4,4.37613430896904,4.61512051684126,3.6168412344903,1.90905665524534,4.4818719696436,1.08751957056636,3.62255743873369,1.22753450938426,0.63773428042282,1.558227305166e-13,-1.75741141726725e-14,-0.261695156324729,-1.39105197240841e-14,-1.17503342320873e-14,3621.98132780083,196.690573770492,2861.09751321429,7853,3165.61168049793,2
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,81,58,810.97,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,65495,91.58,4.40671924726425,4.61512051684126,3.6168412344903,1.90905665524534,4.52807313560312,1.08751957056636,3.62255743873369,1.31468904793803,0.63773428042282,1.558227305166e-13,-1.75741141726725e-14,-0.161362827785744,-1.39105197240841e-14,-1.17503342320873e-14,3621.98132780083,196.690573770492,2951.08746428572,8100,3317.0105,2
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,81,79,1119.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,65044,92.17,4.40671924726425,4.61512051684126,3.6168412344903,1.90905665524534,4.53442578146233,1.08751957056636,3.62255743873369,1.31468904793803,0.63773428042282,1.558227305166e-13,-1.75741141726725e-14,-0.147201087633112,-1.39105197240841e-14,-1.17503342320873e-14,3621.98132780083,196.690573770492,2951.08746428572,8100,3338.38018983403,2
100,100,100,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,82.7,92,1295.54,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,63865,89.94,4.42723897749543,4.61512051684126,3.6168412344903,1.90905665524534,4.51019994839686,1.08751957056636,3.62255743873369,1.37467395301552,0.63773428042282,1.558227305166e-13,-1.75741141726725e-14,-0.200727664820178,-1.39105197240841e-14,-1.17503342320873e-14,3621.98132780083,196.690573770492,3013.02386785714,8270,3257.61000622407,2
