"Access_Electricity","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications_Imports","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini_Index","Internet_Usage","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty_Rate","Poverty_Gap","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile_Cellular_Subscriptions","Log_Internet_Usage","Log_Access_Electricity","Log_Gini_Index","Log_Poverty_Rate","Log_Mobile_Cellular_Subscriptions","Log_Poverty_Gap","Log_Communications_Imports","Scaled_Internet_Usage","Scaled_Access_Electricity","Scaled_Gini_Index","Scaled_Poverty_Rate","Scaled_Mobile_Cellular_Subscriptions","Scaled_Poverty_Gap","Scaled_Communications_Imports","Access_Electricity_x_Gini","Poverty_Gap_x_Electricity","Communications_x_Internet","Internet_x_Electricity","Mobile_Cellular_x_Gini","Poverty_Quartile","Log_Poverty_Rate_Squared","Mobile_Cellular_Subscriptions_Squared","Internet_Usage_Adjusted","Mobile_Cellular_Subscriptions_Centered","Mobile_Cellular_Subscriptions_Centered_Squared"
100,100,98.3,13.33,25.07,12.65,30,23.86,82041.0339782916,3567.78490926012,0.2,0,63.99525,67.5129845422117,1860000,63,3.17220341666977,4.61512051684126,3.43398720448515,0.182321556793955,4.15888308335967,0,2.66235524184008,-0.701509467431409,0.63773428042282,-1.35050619243846,-0.731675163831598,-0.847367121958992,-0.648534489607019,-1.52824063283108,3000,0,318.0538,2386,1890,1,0.0332411500717714,3969,23.86,-35.3026250000002,1246.27533189064
99.6,100,98.7,9.52,18.29,8.84,36.2198132780083,41.2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2460000,84.07,3.71843825635548,4.61115225766564,3.6168412344903,1.90905665524534,4.44347444698779,1.08751957056636,2.35327820730956,-0.0896634356409634,0.623173701629172,1.558227305166e-13,-1.75741141726725e-14,-0.341624977864159,-1.39105197240841e-14,-1.78026642197021,3607.49340248963,195.90381147541,392.224,4103.52,3044.99970228216,2,3.64449731293653,7067.7649,41.2,-14.2326250000002,202.567614390631
99.6,100,99.1,11.78,26.38,10.98,36.2198132780083,45,12,4.12,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2690000,92.41,3.80666248977032,4.61115225766564,3.6168412344903,1.90905665524534,4.53699840588476,1.08751957056636,2.54788144894939,0.0444204698263775,0.623173701629172,1.558227305166e-13,-1.75741141726725e-14,-0.141440379774415,-1.39105197240841e-14,-1.63077080951498,3607.49340248963,195.90381147541,530.1,4482,3347.07294502075,2,3.64449731293653,8539.6081,45,-5.89262500000021,34.7230293906275
99.7,100,99.5,8.66,28.99,8.13,36.2198132780083,47,24,8.26,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3100000,106.87,3.85014760171006,4.61214579972452,3.6168412344903,1.90905665524534,4.68092679838734,1.08751957056636,2.26799364822443,0.114990946388136,0.626813846327584,1.558227305166e-13,-1.75741141726725e-14,0.20564226871212,-1.39105197240841e-14,-1.8371541329045,3611.11538381743,196.100502049181,407.02,4685.9,3870.81144502075,2,3.64449731293653,11421.1969,47,8.5673749999998,73.3999143906216
99.9,99.9,99.9,8.39,26.42,7.87,29,49.4,74,25.51,0.6,0.1,63.99525,67.5129845422117,3500000,121.02,3.89995042419388,4.61412992735956,3.40119738166216,0.470003629245736,4.80418496572371,0.0953101798043249,2.23964529322017,0.199675518262246,0.634094135724408,-1.56763589265208,-0.678910647805321,0.54528400288117,-0.615562167793379,-1.85501422819782,2897.1,9.99,414.466,4935.06,3509.58,1,0.220903411504163,14645.8404,49.4,22.7173749999998,516.079126890615
99.9,99.8,99.9,12.65,22.44,9.95,36.2198132780083,51.8,103,35.58,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3690000,127.67,3.94739014926544,4.61412992735956,3.6168412344903,1.90905665524534,4.8572509871969,1.08751957056636,2.61373952163097,0.284360090136356,0.634094135724408,1.558227305166e-13,-1.75741141726725e-14,0.704903616465918,-1.39105197240841e-14,-1.57322161356983,3618.35934647303,196.493883196722,655.27,5174.82,4624.18356120332,2,3.64449731293653,16299.6289,51.8,29.3673749999998,862.442714390613
100,99.9,100,10.66,22.27,8.92,34.6,54.3,151,52.27,1,0.1,63.99525,67.5129845422117,3360000,116.49,3.99452422693989,4.61512051684126,3.57234563785798,0.693147180559945,4.76635322357948,0.0953101798043249,2.45616418092235,0.372573185838554,0.63773428042282,-0.351709571455823,-0.626146131779045,0.436550642048252,-0.615562167793379,-1.70485713073173,3460,10,578.838,5430,4030.554,1,0.480453013918201,13569.9201,54.3,18.1873749999998,330.780609390617
100,100,100,11.12,23.85,9.89,32.8,56.9,197,68.39,0.1,0,63.99525,67.5129845422117,3400000,117.99,4.04129534113228,4.61512051684126,3.52046080248897,0.0953101798043249,4.77903945596706,0,2.49485698064117,0.46431480536884,0.63773428042282,-0.742543031840335,-0.744866292838167,0.472555066165112,-0.648534489607019,-1.67442882023199,3280,0,632.728,5690,3870.072,1,0.00908403037433274,13921.6401,56.9,19.6873749999998,387.592734390617
99.9,99.7,100,13.36,27.04,10.32,33.7,59.6,416,144.64,0.1,0,63.99525,67.5129845422117,3370000,116.96,4.0876555740713,4.61412992735956,3.54673968695281,0.0953101798043249,4.77034558394708,0,2.66444656362008,0.559584948727214,0.634094135724408,-0.547126301648079,-0.744866292838167,0.447832028271534,-0.648534489607019,-1.52625617779849,3366.63,0,796.256,5954.04,3941.552,1,0.00908403037433274,13679.6416,59.6,18.6573749999998,348.097641890617
99.9,99.7,100,15.44,30.51,10.21,33.1,62.4,1273,443.02,0.4,0,63.99525,67.5129845422117,3630000,125.92,4.13356527537538,4.61412992735956,3.52929738428947,0.336472236621213,4.843556966715,0,2.79971738962803,0.658383615913676,0.634094135724408,-0.677404121776249,-0.705292905818459,0.662898454996248,-0.648534489607019,-1.38866729553881,3306.69,0,963.456,6233.76,4167.952,1,0.113213566016882,15855.8464,62.4,27.6173749999998,762.719401890614
100,100,100,13.73,29.85,9.16,30.1,65.4,1508,526.1,0,0,63.99525,67.5129845422117,2710000,94.36,4.18052225846315,4.61512051684126,3.43720781918519,0,4.55765920331704,0,2.68988623047454,0.764239330756314,0.63773428042282,-1.3287932224171,-0.758057421844736,-0.0946346284224962,-0.648534489607019,-1.50178123239653,3010,0,897.942,6540,2840.236,1,0,8903.8096,65.4,-3.94262500000021,15.5442918906266
100,100,100,13.34,30,9.86,30.1,68.55,2190,767.29,0,0,65.96,71.16,2630000,91.52,4.22756340600832,4.61512051684126,3.43720781918519,0,4.52742483736324,0,2.66305283517147,0.875387831341083,0.63773428042282,-1.3287932224171,-0.758057421844736,-0.162803004750419,-0.648534489607019,-1.52757914782022,3010,0,914.457,6855,2754.752,1,0,8375.9104,68.55,-6.78262500000021,46.0040018906278
99.3,97.9,100,64.41,53.19,62.36,36.2198132780083,10.18,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.7e+07,78.19,2.32042501112238,4.60816569496789,3.6168412344903,1.90905665524534,4.37185002822232,1.08751957056636,4.18067515197312,-1.18421152711384,0.612253267533936,1.558227305166e-13,-1.75741141726725e-14,-0.482762320402252,-1.39105197240841e-14,1.85062480266142,3596.62745850622,195.313739754099,655.6938,1010.874,2832.02720020747,2,3.64449731293653,6113.6761,10.18,-20.1126250000002,404.517684390633
98.8,97.4,99.5,68.78,53.7,67.45,36.2198132780083,11.23,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,32700000,92.99,2.41858876875035,4.60316818331742,3.6168412344903,1.90905665524534,4.54318839363221,1.08751957056636,4.24534743575863,-1.14716202691891,0.594052544041877,1.558227305166e-13,-1.75741141726725e-14,-0.127518669115896,-1.39105197240841e-14,2.13969375240892,3578.51755186722,194.330286885246,772.3994,1109.524,3368.08043672199,2,3.64449731293653,8647.1401,11.23,-5.31262500000021,28.2239843906272
98.9,97.5,99.6,67.52,62.94,66.5,36.2198132780083,12.5,13,0.36,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,32800000,91.42,2.52572864430826,4.60416968565451,3.6168412344903,1.90905665524534,4.52634340544212,1.08751957056636,4.22712567345592,-1.1023497743022,0.597692688740289,1.558227305166e-13,-1.75741141726725e-14,-0.165203299691543,-1.39105197240841e-14,2.05634664104007,3582.13953319502,194.526977459017,844,1236.25,3311.21532987552,2,3.64449731293653,8357.6164,12.5,-6.8826250000002,47.3705268906278
99,97.6,99.7,66.93,65.72,65.42,27.6,14.9,18,0.49,0,0,63.99525,67.5129845422117,35600000,97.46,2.70136121295141,4.60517018598809,3.35340671782581,0,4.58965037433005,0,4.21847776320321,-1.01766520242809,0.601332833438701,-1.87161747295114,-0.758057421844736,-0.0202254852476514,-0.648534489607019,2.01731902539911,2732.4,0,997.257,1475.1,2689.896,1,0,9498.4516,14.9,-0.842625000000211,0.710016890625356
98.8,97.7,99.3,58.2,64.09,56.59,36.2198132780083,18.2,46,1.23,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,37500000,100.72,2.90142159408275,4.60316818331742,3.6168412344903,1.90905665524534,4.62222394055392,1.08751957056636,4.08092154188996,-0.901223916101185,0.594052544041877,1.558227305166e-13,-1.75741141726725e-14,0.0580241298329921,-1.39105197240841e-14,1.43984261091497,3578.51755186722,194.330286885246,1059.24,1798.16,3648.059593361,2,3.64449731293653,10144.5184,18.2,2.41737499999979,5.843701890624
99.2,97.8,99.8,55.86,63.93,53.63,36.2198132780083,22.5,68,1.79,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,39500000,103.99,3.11351530921037,4.60716818865076,3.6168412344903,1.90905665524534,4.65386510752685,1.08751957056636,4.04059210622285,-0.749497391493405,0.608613122835525,1.558227305166e-13,-1.75741141726725e-14,0.136513774407748,-1.39105197240841e-14,1.28505511837283,3593.00547717842,195.117049180328,1256.85,2232,3766.49838278008,2,3.64449731293653,10813.9201,22.5,5.68737499999979,32.3462343906226
99.3,97.9,99.9,58.18,59.1,56.08,36.2198132780083,29.5,94,2.43,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43300000,111.71,3.38439026334577,4.60816569496789,3.6168412344903,1.90905665524534,4.72481814825399,1.08751957056636,4.08058364697206,-0.50250072352725,0.612253267533936,1.558227305166e-13,-1.75741141726725e-14,0.321816543862523,-1.39105197240841e-14,1.43851964089325,3596.62745850622,195.313739754099,1716.31,2929.35,4046.11534128631,2,3.64449731293653,12479.1241,29.5,13.4073749999998,179.757704390619
99.4,98.1,99.9,57.91,58.37,55.85,36.2198132780083,38.2,152,3.84,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43200000,109.32,3.64283551561253,4.60916220725763,3.6168412344903,1.90905665524534,4.70338523348505,1.08751957056636,4.0760108555336,-0.195519150483601,0.615893412232349,1.558227305166e-13,-1.75741141726725e-14,0.264449494769659,-1.39105197240841e-14,1.42065954559992,3600.24943983403,195.510430327869,2212.162,3797.08,3959.54998755187,2,3.64449731293653,11950.8624,38.2,11.0173749999998,121.38255189062
99.4,98.3,99.9,60.28,60.05,58.43,36.2198132780083,42.95,309,7.66,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4.7e+07,116.61,3.76003664843026,4.60916220725763,3.6168412344903,1.90905665524534,4.76737406586295,1.08751957056636,4.11545352543234,-0.0279142686494248,0.615893412232349,1.558227305166e-13,-1.75741141726725e-14,0.4394309959776,-1.39105197240841e-14,1.57743149317465,3600.24943983403,195.510430327869,2589.026,4269.23,4223.59242634855,2,3.64449731293653,13597.8921,42.95,18.3073749999998,335.159979390617
99.5,98.6,99.9,61.31,61.24,59.59,36.2198132780083,47.69,2621,63.71,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,45800000,111.45,3.86472173231013,4.61015772749913,3.6168412344903,1.90905665524534,4.72250867840532,1.08751957056636,4.13212192655613,0.139337760801943,0.61953355693076,1.558227305166e-13,-1.75741141726725e-14,0.315575777015601,-1.39105197240841e-14,1.64556444929363,3603.87142116183,195.70712090164,2923.8739,4745.155,4036.69818983403,2,3.64449731293653,12421.1025,47.69,13.1473749999998,172.85346939062
99.6,98.9,99.9,62.67,62.92,61.45,36.2198132780083,49.04,2855,68.09,5.74672131147541,1.96690573770492,42.86,55.13,47200000,112.47,3.89263629162796,4.61115225766564,3.6168412344903,1.90905665524534,4.7315384848029,1.08751957056636,4.15371349402893,0.18697283248113,0.623173701629172,1.558227305166e-13,-1.75741141726725e-14,0.340058785415066,-1.39105197240841e-14,1.73552641077111,3607.49340248963,195.90381147541,3073.3368,4884.384,4073.64239937759,2,3.64449731293653,12649.5009,49.04,14.1673749999998,200.714514390619
99.5,98.7,99.8,57.04,62.79,54.73,36.2198132780083,58.98,2154,50.44,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,45400000,106.37,4.07719840338713,4.61015772749913,3.6168412344903,1.90905665524534,4.67628081344604,1.08751957056636,4.06113242801599,0.537708100993069,0.61953355693076,1.558227305166e-13,-1.75741141726725e-14,0.1936407940065,-1.39105197240841e-14,1.36311034965477,3603.87142116183,195.70712090164,3364.2192,5868.51,3852.70153838174,2,3.64449731293653,11314.5769,58.98,8.0673749999998,65.0825393906218
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,3,54.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,18.41,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,18.63,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,24,459.62,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,19.47,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,10,198.22,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,55,1111.94,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625,3.77828823911397,4.42461335795085,3.6168412344903,1.90905665524534,4.59817200574704,1.08751957056636,3.62255743873369,-6.26791743501073e-15,2.0691826980578e-15,1.558227305166e-13,-1.75741141726725e-14,-4.77543397547271e-15,-1.39105197240841e-14,-1.17503342320873e-14,2987.42917475108,162.231415708946,1593.62742765097,3607.78911665027,3560.50272223807,2,3.64449731293653,9663.40608189063,43.7411033057851,-1.98951966012828e-13,3.95818847803695e-26
